Case #,Incident Code,Reported,Case Status,Start Occurred,End Occurred,Building,Location,Stolen,Damaged,Summary
8000002,ALCOHOL - DWI,1/1/08 0:53,Cleared by Arrest,1/1/08 0:53,1/1/08 0:53,N/A,N 17TH ST & VINE ST (STREET),$0.00 ,$0.00 ,"Student stopped on traffic violation found to be DWI .084 BAC. Cited for DWI, open container and traffic offenses."
8000003,ALCOHOL - DRUNK,1/1/08 1:06,Inactive,1/1/08 1:46,,Selleck Quad,(UNL RESIDENCE HALL),$0.00 ,$0.00 ,Student unrully with staff and police. Taken to detox tested .158 BAC.
8000009,MISC - OTHER,1/2/08 1:09,Unfounded,1/2/08 1:09,,N/A,N 34TH ST & HOLDREGE ST (STREET),$0.00 ,$0.00 ,Nude male person waved down an officer after he said he fled from a girls apartment after her ex-boyfriend showed up to confront the two.
8000014,TRAFFIC - SUSPENDED DRIVER,1/3/08 0:48,Cleared by Arrest,1/3/08 0:48,,N/A,N 17TH ST & N ANTELOPE VALLEY PKWY (STREET),$0.00 ,$0.00 ,Traffic Stop.  Non student cited/lodged for DUS/Open Container/Violate Stop Sign.  Passenger lodged on outstanding LSO Warrant.
8000017,ALCOHOL - DWI,1/4/08 0:11,Cleared by Arrest,1/4/08 0:11,,N/A,N 14TH ST & P ST (STREET),$0.00 ,$0.00 ,Traffic Stop.  Driver cited and admitted into Detox for DWI/Improper Turn. (.124 BAC)
8000023,LARCENY - STOLEN BIKE,1/4/08 10:51,Inactive,12/22/07 10:00,1/3/08 23:00,Architecture Hall,402 Stadium Dr (UNL ACADEMIC BUILDING),$315.00 ,$0.00 ,Black Trek bicycle ($300) taken from the bike racks sometime since Decemeber 22nd.
8000024,OUTSIDE - O.P.S. OTHER,1/4/08 12:23,Cleared by Exception,1/4/08 12:23,,Barkley Center,4075 East Camp Loop (SIDEWALK),$0.00 ,$0.00 ,UNLPD officer apprehended a suspect on East Campus who LPD was looking for in reference to an auto theft.
8000027,TRESPASSING,1/4/08 14:56,Cleared by Exception,1/4/08 14:56,,Love Library North,1300 R (LIBRARY),$0.00 ,$0.00 ,Male transient viewing pornography on public computers. Policy letter served.
8000031,ALCOHOL - DRUNK,1/4/08 20:19,Cleared by Exception,1/4/08 15:01,,N/A,"721 K Street (TREATMENT/DETENTION FACILITY (detox, etc.))",$0.00 ,$0.00 ,Female admitted into Detox per her request.
8000037,FALSE INFORMATION - GIVEN TO OFC.,1/5/08 13:58,Cleared by Arrest,1/5/08 13:58,,N/A,17 Street/R-Vine Street (STREET),$0.00 ,$0.00 ,"Traffic stop yielded a Suspended driver, Marijuana, False Information and Warrant. Lodged."
8000042,ALCOHOL - MINOR IN POSSESSION,1/6/08 0:11,Cleared by Arrest,1/6/08 0:11,,N/A,N 19TH ST & VINE ST (STREET),$0.00 ,$0.00 ,Traffic Stop.  Minor female cited/released to parent for MIP/Open Container.
