Case #,Incident Code,Report Time,Case Status,Start Occurred,End Occurred,Building,Location 1,Location 2,Stolen,Damaged,Summary
12000001,ALCOHOL - MINOR IN POSSESSION,2012-01-01T00:50:00Z,Cleared By Arrest,2012-01-01T00:50:00Z,,N/A,N. 17th Street and Antelope Valley Parkway,STREET,0,0,"Ofc. conducted a traffic stop near 17th and Vine.  The driver and six passengers were UNL students.  All were cited for MIP, open container and were released."
12000003,ALCOHOL - DWI,2012-01-01T02:22:00Z,Cleared By Arrest,2012-01-01T02:22:00Z,,N/A,N. 17th Street and Vine Street,STREET,0,0,Ofc. conducted a traffic stop near 17th and Vine.  Driver was cited for DWI and improper registration.  BAC 0.107.
12000010,ALCOHOL - DWI,2012-01-03T02:15:00Z,Cleared By Arrest,2012-01-03T02:15:00Z,,N/A,"""T"" Street and N. 10th Street",STREET,0,0,Non-student stopped for speeding. Cited for DUS and DWI (.138 BAC).
12000445,TELEPHONE - OTHER,2012-01-03T09:49:00Z,Cleared By Exception,2011-12-27T12:33:00Z,,N/A,,"UNL SUPPORT FACILITY (office, service)",0,0,A fac/staff member received a strange voice mail.
12000015,DISTURBANCE - OTHER,2012-01-03T09:59:00Z,Cleared By Exception,2011-12-30T08:00:00Z,,Selleck Quad,600 N. 15th St.,UNL RESIDENCE HALL,0,0,"Person reporting a male person making her feel frightened, male has not contacted her."
12000018,LOST OR STOLEN ITEM,2012-01-03T17:32:00Z,Inactive,2012-01-03T11:30:00Z,2012-01-03T16:00:00Z,Whittier Building,2200 Vine St.,"UNL SUPPORT FACILITY (office, service)",2200,0,"Laptop taken from room in the Whittier Building, $2200 loss."
12000023,VANDALISM - BY GRAFFITI,2012-01-04T11:30:00Z,Inactive,2011-12-23T16:00:00Z,2012-01-04T11:30:00Z,Bessey Hall,"1215 ""U"" St.",UNL ACADEMIC BUILDING,0,15,Vandalism of a concrete wall by spray paint.
12000025,LARCENY - FROM MOTOR VEHICLE,2012-01-04T13:28:00Z,Inactive,2011-12-31T22:30:00Z,2012-01-01T09:30:00Z,N/A,1010 Michelle Court,DUPLEX - off campus,0,0,Staff member had an NCard stolen from a vehicle at their residence off-campus.
12000048,VANDALISM - BY GRAFFITI,2012-01-04T14:15:00Z,Inactive,,,Sheldon Memorial Art Gallery,451 N. 12th St.,MUSEUM,0,15,Illegible graffiti to an exterior electrical box.
12000034,ALCOHOL - OPEN CONTAINER,2012-01-05T00:58:00Z,Cleared By Arrest,2012-01-05T00:58:00Z,,N/A,"""T"" Street and N. 10th Street",STREET,0,0,"Non-student stopped for speeding. Cited/released for DUS, Open Container and Speeding."
12000035,ALCOHOL - MINOR IN POSSESSION,2012-01-05T02:07:00Z,Cleared By Arrest,2012-01-05T02:07:00Z,,N/A,"N. 17th Street and ""R"" Street",STREET,0,0,"Three UNL students and a non-student were passengers in a car stopped for speeding. MIP, Open Container and Drug Possession citations issued."
12000037,DISTURBANCE - OTHER,2012-01-05T09:34:00Z,Cleared By Arrest,2012-01-03T16:41:00Z,,Alexander Building,"1410 ""Q"" St.","UNL SUPPORT FACILITY (office, service)",0,0,Unidentified male caused a disturbance in the Alexander building on 1/3/12.
12000038,AUTO THEFT,2012-01-05T10:11:00Z,Inactive,2012-01-04T21:30:00Z,2012-01-05T10:11:00Z,N/A,3323 Starr St.,UNL APARTMENT,0,250,Attempted vehicle theft by punching out and damaging the steering column.
12000040,SS - CHECK WELFARE OF PERSON,2012-01-05T12:26:00Z,Cleared By Exception,,,N/A,,"UNL SUPPORT FACILITY (office, service)",0,0,Concerns regarding a UNL employee working at a location outside of Lincoln.
12000041,TRESPASSING,2012-01-05T17:20:00Z,Cleared By Arrest,2012-01-05T17:20:00Z,2012-01-05T17:20:00Z,Facilities Management Shops,942 N. 22nd St.,"UNL SUPPORT FACILITY (office, service)",0,0,Report of a person lying next to the building. Found to be previously banned from campus; cited and lodged at jail for Trespassing and Littering.
12000043,TRAFFIC - SUSPENDED DRIVER,2012-01-05T20:00:00Z,Cleared By Arrest,2012-01-05T20:00:00Z,,N/A,N. 16th Street and Vine Street,STREET,0,0,UNL student stopped for a traffic violation and found to be Driving Under Suspension. Student was cited and released.
12000045,ALCOHOL - DWI,2012-01-06T00:30:00Z,Cleared By Arrest,2012-01-06T00:30:00Z,,N/A,N. 19th Street and Vine Street,STREET,0,0,"Officer conducted a traffic stop near 22nd and Vine St.  Driver was cited for failing to signal turn, MIPC, DWI (0.02 violation), and was released from Detox to a sober person.  BAC 0.045."
12000046,ALCOHOL - DWI,2012-01-06T02:11:00Z,Cleared By Arrest,2012-01-06T02:11:00Z,,N/A,"""Q"" Street and N. 13th Street",STREET,0,0,"Officer conducted a traffic stop near 13th P-Q St.  Driver was cited for failing to signal turn, DWI, and was released to Detox staff.  BAC. 0.098."
12000047,NARCOTICS - POSSESSION,2012-01-06T03:03:00Z,Cleared By Arrest,2012-01-06T03:03:00Z,,N/A,"N. 16th Street and ""U"" Street",STREET,0,0,"Non UNL affiliated male cited for Poss of Controlled Substance, DUI, Marijuana and no headlights. BAC .114."
12000052,MEDICAL EMERGENCY,2012-01-06T12:34:00Z,Cleared By Exception,2012-01-06T12:34:00Z,,N/A,"""R"" Street and Centennial Mall",SIDEWALK,0,0,"Non-student was intoxicated and fell, sustaining a minor head injury. Transported to hospital by LFR."
