Case #,Incident Code,Reported,Case Status,Start Occurred,End Occurred,Building,Location,Stolen,Damaged,Summary
9000001,VANDALISM - OTHER,1/1/09 1:23,Cleared by Arrest,1/1/09 1:23,,Sheldon Memorial Art Gallery,451 North 12th St (MUSEUM),$0.00 ,"$50,000.00 ",Four bricks thrown through four different glass panes on east side of building.
9000004,BURGLARY,1/1/09 8:28,Cleared by Arrest,1/1/09 0:01,1/1/09 8:28,Lied Center,301 North 12th St (AUDITORIUM/THEATER),$0.00 ,"$3,210.00 ","Unknown person threw a brick breaking a window in the Lied center, they entered the room and damaged several items, $3210.00 damage"
9000006,LOST OR STOLEN ITEM,1/2/09 9:54,Inactive,12/30/08 13:00,12/31/08 6:00,N/A,City Of Lincoln (UNKNOWN),$100.00 ,$0.00 ,"Lost item in city of Lincoln, $100.00."
9000010,TRAFFIC - SUSPENDED DRIVER,1/2/09 23:31,Cleared by Arrest,1/2/09 23:31,,N/A,N 19TH ST & P ST (STREET),$0.00 ,$0.00 ,Non student cited/released for DUS/Making an Improper Turn.
9000011,FALSE INFORMATION - GIVEN TO OFC.,1/2/09 23:53,Cleared by Arrest,1/2/09 23:53,,N/A,N 17TH ST & VINE ST (STREET),$0.00 ,$0.00 ,Non student cited for False Information to a Police Officer.  Lodged on 3 outstanding warrants.
9000013,ALCOHOL - DWI,1/3/09 1:49,Cleared by Arrest,1/3/09 1:49,,N/A,N 12TH ST & R ST (STREET),$0.00 ,$0.00 ,Non student cited/Detox for DWI (.100 BAC)/Negligent Driving.
9000015,ALCOHOL - MINOR IN POSSESSION,1/4/09 0:41,Cleared by Arrest,1/4/09 0:41,,N/A,N 14TH ST & R ST (STREET),$0.00 ,$0.00 ,Two non-students cited/released to their parents for MIP. An officer observed numerous hard liquor bottles in the vehicle after it was stopped for violating a stop sign.
9000016,NARCOTICS - POSSESSION,1/4/09 2:26,Cleared by Arrest,1/4/09 2:26,,N/A,Q ST & N 17TH ST (STREET),$0.00 ,$0.00 ,UNL student stopped for expired license plates. She was cited/released for marijuana less than an ounce and possession of drug paraphernalia.
9000018,ALCOHOL - MINOR IN POSSESSION,1/4/09 22:39,Cleared by Arrest,1/4/09 22:39,,N/A,N 17TH ST & N ANTELOPE VALLEY PKWY (STREET),$0.00 ,$0.00 ,Non-student cited/released for MIP and Open Container. She was stopped for driving without lights at night and officer observed a bottle of Arbor Mist in the car.
9000019,TRAFFIC - OTHER,1/4/09 23:02,Cleared by Arrest,1/4/09 23:02,,N/A,N 17TH ST & X ST (STREET),$0.00 ,$0.00 ,"Non-student cited for Willful Reckless driving after violating a stop sign, losing control of the vehicle, and damaging a roadway sign."
9000032,LARCENY - FROM BUILDING,1/6/09 20:20,Inactive,12/23/08 20:00,1/5/09 21:00,Nebraska Hall,900 North 16th St (UNL ACADEMIC BUILDING),$10.00 ,$0.00 ,"Two containers of soap taken from the 3rd floor women's restroom Nebraska Hall, $10.00 lost."
9000033,MISC - OTHER,1/7/09 7:53,Inactive,,,N/A,(INTERNET/CYBERSPACE),$0.00 ,$0.00 ,Investigation of a UNLPD police badge for sale on eBay.  Investigation continues
9000036,MISC - OTHER,1/7/09 11:36,Cleared by Exception,,1/7/09 12:11,N/A,Baltimore. MD (UNKNOWN),$0.00 ,$0.00 ,Belated report to document an NCard stolen outside of Nebraska.
9000039,LARCENY - FROM MOTOR VEHICLE,1/7/09 15:00,Inactive,1/7/09 13:20,1/7/09 15:00,Bob Devaney Sports Center,1600 Court St (GOV'T PARKING LOT (UNL)),$260.00 ,$0.00 ,"Theft from vehicle South lot of Devaney purse taken, $200.00 loss."
9000042,TRAFFIC - SUSPENDED DRIVER,1/7/09 22:36,Cleared by Arrest,1/7/09 22:36,,N/A,N 16TH ST & VINE ST (STREET),$0.00 ,$0.00 ,"Non student cited/lodged for DUS (X2, FTA)/Improper Turn."
9000043,MISC - OTHER,1/8/09 0:25,Cleared by Arrest,1/8/09 0:25,,The Village,1055 North 16 St. (UNL RESIDENCE HALL),$0.00 ,$0.00 ,Non student cited for Obstructing a Police Officer.  Lodged on an outstanding warrant.
