University of Nebraska-Lincoln Police,_unnamed,_unnamed_2,_unnamed_3,_unnamed_4,_unnamed_5,_unnamed_6,_unnamed_7,_unnamed_8,_unnamed_9,_unnamed_10
Daily Crime Log Summary,,,,,,,,,,
,,,,,,,,,,
Date Range: 1/1/2017 - 12/31/2017,,,,,,,,,,
Incident Code(s): All,,,,,,,,,,
Building(s): All,,,,,,,,,,
Results: 1545,,,,,,,,,,
Created: 1/22/2018 16:39,,,,,,,,,,
Case #,Incident Code,Reported,Case Status,Start Occurred,End Occurred,Building,Location,Stolen,Damaged,Summary
17000001,ALCOHOL - DRUNK,1/1/2017 3:44,Closed - Non-Criminal Case,1/1/2017 3:44,,The Robert E. Knoll Residential Center,440 N 17th Street (UNL RESIDENCE HALL),$0.00,$0.00,A 20 year old student was placed into civil protective custody and transported to The Bridge with a BAC of .207.  No citation issued.
17000008,TRAFFIC - SUSPENDED DRIVER,1/2/2017 19:35,Closed - Cleared by Arrest-Adult,1/2/2017 19:35,,N/A,N ANTELOPE VALLEY PKWY & MILITARY RD (STREET),$0.00,$0.00,A vehicle was stopped for a traffic violation. A non-affiliate was cited/lodged for DUS and cited/released for No Insurance.
17000011,VANDALISM - BY GRAFFITI,1/3/2017 9:12,Closed - Inactive,12/22/2016 8:00,1/3/2017 8:00,Facilities Management Complex,1901 Y St (GOV'T LOT/FIELD (UNL)),$0.00,$30.00,Graffiti to a concrete slab in a culvert.
17000017,ALCOHOL - MINOR IN POSSESSION,1/3/2017 16:34,Closed - Cleared by Arrest-Adult,1/3/2017 16:34,,The Village,1055 North 16 St. (UNL RESIDENCE HALL),$0.00,$0.00,"Student was cited for Minor in Possession, this occurred in The Village."
17000024,LOST OR STOLEN ITEM,1/4/2017 20:47,Closed - Non-Criminal Case,1/4/2017 17:40,1/4/2017 20:20,Sapp Recreation Facility,"841 North 14th St (UNL SUPPORT FACILITY (office, service))",$20.00,$0.00,Student reported their wallet taken from the Rec Center
17000027,ACCIDENTS - P.D. REPORTABLE,1/5/2017 7:57,Closed - Inactive,1/5/2017 7:57,,Schorr Center,1101 T Street (GOV'T PARKING LOT (UNL)),$0.00,"$1,525.00",University vehicle involved in a non-injury accident.
17000032,NARCOTICS - OTHER,1/5/2017 14:26,Closed - Inactive,,,N/A,(UNKNOWN),$0.00,$0.00,Report of marijuana use on campus.
17000036,DISTURBANCE - OTHER,1/5/2017 17:15,Closed - Inactive,12/22/2016 22:28,,Harper Hall,1150 North 14th St (UNL RESIDENCE HALL),$0.00,$0.00,UPD received a 3rd hand report of a belated disturbance between students.
17000050,LOST OR STOLEN ITEM,1/7/2017 17:47,Closed - Inactive,1/7/2017 15:00,1/7/2017 16:30,Temple Building,"1209 R St (UNL SUPPORT FACILITY (office, service))",$20.00,$0.00,A non-affiliate reports the loss of their wallet and contents. Loss estimated at $60.00.
17000051,NARCOTICS - POSSESSION,1/7/2017 17:54,Closed - Cleared by Arrest-Adult,1/7/2017 17:54,,The Village,1055 North 16 St. (UNL RESIDENCE HALL),$0.00,$0.00,A student was cited and released for Possession of Drug Paraphernalia after a narcotics complaint at The Village.
17000053,TRAFFIC - SUSPENDED DRIVER,1/8/2017 2:00,Closed - Cleared by Arrest-Adult,1/8/2017 2:00,,N/A,HWY CORNHUSKER & N 27TH ST (STREET),$0.00,$0.00,"A non-affiliate was contacted on a traffic stop, resulting in a foot pursuit. The suspect was unable to be apprehended at this time.  BC initiated."
17000056,TRAFFIC - SUSPENDED DRIVER,1/8/2017 15:19,Closed - Cleared by Arrest-Adult,1/8/2017 15:19,,N/A,VINE ST & N ANTELOPE VALLEY PKWY (STREET),$0.00,$0.00,Non-university affiliate was cited/released for DUS and no proof of insurance.
17000058,TRAFFIC - SUSPENDED DRIVER,1/8/2017 19:56,Closed - Cleared by Arrest-Adult,1/8/2017 19:56,,N/A,N ANTELOPE VALLEY PKWY & Salt Creek RDWY (STREET),$0.00,$0.00,Officer identified driver to be suspended using MDT. Cited/released for DUS.
